lat,long,dist_met_station,Temp_30,Temp_15,Temp_7,Wind_30,Wind_15,Wind_7,Hum_30,Hum_15,Hum_7,Prcp_30,Prcp_15,Prcp_7,big_fire
31.36349,-86.0019,29153.15774,8.33,7.199722222,5.683928571,3.909776536,3.886554622,3.504761905,68.41812401,66.85971223,56.73170732,114.0,87.0,0.0,0
31.6764,-90.2528,72886.87226,15.20465686,15.06467662,13.25454545,2.710294118,2.762189055,2.059393939,59.56425406,59.95426829,55.2195122,6.9,0.3,0.0,0
26.40082,-98.93176001,87737.13706,5.835425384,4.498607242,4.652694611,2.869456067,2.562395543,2.538323353,74.49441341,74.01117318,82.88554217,0.0,0.0,0.0,0
36.154033,-89.3729,17265.00634,1.421027817,1.451149425,-1.985971944,2.93767091,3.45756705,3.120240481,64.81989628,62.47605364,62.01803607,18.1,1.3,0.0,0
41.24492,-98.79551,43294.57573,8.974282147,7.530578512,8.196449704,4.007615481,3.631680441,3.059171598,59.82771536,51.58677686,54.31360947,39.6,0.0,0.0,0
40.7808,-72.865,4023.552408,1.058411215,3.2,3.682914573,3.856608187,4.08456057,3.919095477,60.50859951,58.8175,55.37988827,43.5,28.2,16.2,0
18.370405,-67.101395,14420.85308,24.39165329,24.20679012,24.16891892,3.624919614,3.261419753,2.922972973,79.96260163,81.63949843,83.08965517,0.0,0.0,0.0,0
35.956763,-119.4557725,36061.59335,25.31556196,25.18452381,25.66666667,2.411767531,2.353075397,2.358169935,42.35782901,37.88690476,37.86492375,0.0,0.0,0.0,0
38.60638889,-111.6241667,83135.21438,20.86470588,22.80952381,27.87804878,2.284117647,2.239285714,1.682926829,20.57647059,18.98809524,13.43902439,0.0,0.0,0.0,0
29.9418,-82.3236,28069.8437,26.32808607,25.35848214,25.69541284,2.263759909,2.243303571,2.430275229,72.69807037,71.14955357,69.81192661,35.3,28.2,0.0,0
31.872479,-90.116118,52452.71026,12.24490566,12.40958904,15.87821782,3.723867925,4.017808219,3.010891089,72.49621212,71.2074364,65.22277228,169.4,45.7,5.3,0
28.72209997,-99.15525001,30015.13224,23.8510158,25.18325792,26.37256637,4.328893905,4.421493213,4.768141593,64.19292237,63.15296804,68.24774775,1.3,0.0,0.0,0
30.59785683,-90.27539885,16117.52973,12.17464492,13.90254237,13.72790698,2.857653866,2.671610169,2.69255814,68.99730167,72.60566449,64.59708738,0.0,0.0,0.0,0
34.83832032,-89.99820943,24170.99648,10.3825,10.96388889,11.11845238,4.063194444,3.859166667,3.202380952,61.56189152,60.84444444,52.01785714,0.0,0.0,0.0,0
43.28236,-97.07683,41977.6334,4.014953271,6.77505423,5.942718447,4.8015625,4.967826087,4.629268293,65.25757576,60.33986928,49.76585366,39.9,11.9,2.0,0
31.136785,-88.133717,50900.39159,10.57904374,8.637723214,8.860846561,3.477573904,2.850224215,2.214893617,71.96770833,66.14588235,64.19148936,134.8,26.4,0.0,0
45.68275,-92.3091,15586.72651,-2.175254866,2.303336423,6.048214286,1.768952734,1.670528267,2.470436508,71.32837209,80.16246499,88.9498998,29.0,29.0,29.0,0
35.4375,-76.4209,58856.82009,13.35048679,15.7700831,12.97619048,2.632842105,2.611206897,2.651685393,70.15010571,79.17748918,73.23863636,0.0,0.0,0.0,0
38.345,-120.8461111,55096.16079,8.3889043,11.81108033,11.74821429,5.800970874,6.38033241,5.827380952,63.84705882,63.66463415,72.08843537,0.0,0.0,0.0,0
34.00868999,-80.29900001,16197.02003,8.781569966,7.330120482,5.038251366,3.051080774,3.105060241,2.902185792,69.12267658,65.97799511,62.09944751,43.4,9.3,0.3,0
38.241507,-120.572452,69427.28627,11.98574794,13.61990632,13.81443299,3.355502959,3.698826291,4.188082902,68.479092,65.83886256,58.33678756,60.2,23.0,0.0,0
36.61361111,-82.4225,14975.27199,11.01703163,14.69168901,13.85955056,1.828588808,1.642359249,1.662921348,67.47826087,57.9076087,57.02285714,41.3,21.1,18.8,0
35.3167,-81.4,26176.295,8.036671368,6.727793696,7.491017964,2.380143113,2.19054878,1.798203593,61.22440945,57.49180328,57.34,100.4,13.5,3.3,0
39.8332,-120.051,45613.31334,22.91291667,24.65083333,25.83035714,4.044583333,3.923888889,3.388095238,24.69027778,25.58333333,25.68452381,0.0,0.0,0.0,1
33.04792,-94.18542,48008.87525,29.86603774,30.25871886,30.71684211,3.012735849,2.623487544,2.444210526,63.94952681,61.93548387,60.96842105,0.0,0.0,0.0,0
33.28,-108.5438889,79940.43705,25.45119617,25.36724806,25.68674699,4.089759615,4.012328767,4.327108434,39.94038462,40.19569472,38.36947791,0.0,0.0,0.0,0
18.081324,-66.865166,53899.27314,25.15238095,25.30952381,25.89473684,5.408571429,5.6,5.836842105,86.97142857,86.16666667,85.31578947,0.0,0.0,0.0,0
30.98847837,-99.46639282,25022.7203,11.12347236,8.461501901,9.344490644,4.089762251,3.995147479,4.183575884,47.22227626,43.6565176,42.64449064,0.0,0.0,0.0,1
36.04841998,-100.3649,16769.9835,11.29886686,15.9972119,16.47420635,4.986685552,5.442657993,6.196825397,47.11372361,39.36303318,35.62886598,0.0,0.0,0.0,1
31.80468463,-88.53439832,62046.55777,14.26477167,13.45567452,12.9715736,3.175862069,3.080085653,3.637563452,77.09356015,71.78933333,66.10169492,3.9,2.9,2.6,0
43.0499,-113.1842,81957.83049,19.72,15.88363636,16.74210526,3.023333333,3.14,2.557894737,57.43333333,62.07272727,66.52631579,0.0,0.0,0.0,1
40.020943,-91.113439,11485.02664,-3.942957043,0.478305785,8.413888889,4.217382617,3.528719008,3.353888889,71.21878122,73.81198347,72.18333333,19.4,7.5,0.5,0
